geoID	cell_line
GSM1203360	HCC827.Parental
GSM1203361	HCC827.Parental
GSM1203362	HCC827.Parental
GSM1203363	HCC827.EMT
GSM1203364	HCC827.EMT
GSM1203365	HCC827.EMT
