"","r_idx","ENZYME","SYMBOL","ENSEMBL","ENTREZID","met_lfc","met_pval","pathway","ge_lfc","ge_pval","significant"
"51",72,"3.6.3.14","ATP6V1E2","ENSG00000250565","90423",-3.42362464332885,0.00181219104903118,"Oxidative Phosphorylation",-0.995942359517083,2.91823688994866e-06,TRUE
"52",72,"3.6.3.14","ATP6V0E2","ENSG00000171130","155066",-3.42362464332885,0.00181219104903118,"Oxidative Phosphorylation",-0.49407015080933,0.000135897123720328,TRUE
"53",72,"3.6.3.14","ATP6V0D2","ENSG00000147614","245972",-3.42362464332885,0.00181219104903118,"Oxidative Phosphorylation",0.429972736169775,0.00943396794212113,TRUE
"54",74,"1.11.1.9","GPX1","ENSG00000233276","2876",-3.65907426560242,0.0327943983769309,"Gluthatione metabolism",0.587741712427084,0.000143794573482365,TRUE
"55",74,"1.11.1.9","GPX2","ENSG00000176153","2877",-3.65907426560242,0.0327943983769309,"Gluthatione metabolism",-4.61469025753067,9.88589010042925e-09,TRUE
"56",74,"1.11.1.9","GPX3","ENSG00000211445","2878",-3.65907426560242,0.0327943983769309,"Gluthatione metabolism",0.319398190960416,0.0118326638003406,TRUE
"57",121,"2.7.1.1","HK1","ENSG00000156515","3098",4.1284771334499,0.00304381850651806,"Glycolysis",0.218113726666527,0.01179767207674,TRUE
"58",121,"2.7.1.1","HK2","ENSG00000159399","3099",4.1284771334499,0.00304381850651806,"Glycolysis",0.556678623346757,0.000471859378898021,TRUE
"59",121,"2.7.1.1","HKDC1","ENSG00000156510","80201",4.1284771334499,0.00304381850651806,"Glycolysis",-2.62945953365684,4.45178124624921e-08,TRUE
"60",126,"2.7.1.15","RBKS","ENSG00000171174","64080",-3.08425212205852,0.00304381850651806,"Pentose phosphate",-0.913400865512086,1.94939872891381e-06,TRUE
"61",131,"1.1.1.95","PHGDH","ENSG00000092621","26227",4.87093375556532,0.0100836421554722,"Aminoacid Metabolism",-0.490645999410413,0.000241557897156371,TRUE
"62",133,"2.6.1.52","PSAT1","ENSG00000135069","29968",-1.11773104111124,0.000303308247809779,"Aminoacid Metabolism",-0.990530547390113,1.65627689806833e-06,TRUE
"63",140,"2.1.4.1","GATM","ENSG00000171766","2628",-0.770515076433534,0.0399567757642341,"Aminoacid Metabolism",0.281283658689069,0.0343684814515806,TRUE
"64",144,"2.6.1.2","GPT2","ENSG00000166123","84706",-2.25305998989634,0.0262922983264144,"Aminoacid Metabolism",-0.301381183947584,0.0484587640037149,TRUE
"65",145,"2.6.1.2","GPT2","ENSG00000166123","84706",-1.96033114545467,0.0139719750980621,"Aminoacid Metabolism",-0.301381183947584,0.0484587640037149,TRUE
"66",150,"1.2.1.41","ALDH18A1","ENSG00000059573","5832",-1.52656411149184,0.0116746105205236,"Aminoacid Metabolism",-0.296971163773879,0.0019138691887,TRUE
"67",155,"4.1.1.17","ODC1","ENSG00000115758","4953",-0.770515076433534,0.0399567757642341,"Aminoacid Metabolism",0.565106173842864,0.000125210492298614,TRUE
"68",159,"2.6.1.19","ABAT","ENSG00000183044","18",-2.10136180501475,0.0116746105205236,"Aminoacid Metabolism",2.53414829690291,3.2313947436895e-07,TRUE
"69",161,"2.6.1.1","GOT1","ENSG00000120053","2805",-3.2194068128024,0.0167251281509262,"Aminoacid Metabolism",-0.463459403142007,0.000367627511416826,TRUE
"70",161,"2.6.1.1","GOT2","ENSG00000125166","2806",-3.2194068128024,0.0167251281509262,"Aminoacid Metabolism",-0.333165241419259,0.000489864886426257,TRUE
"71",162,"2.6.1.1","GOT1","ENSG00000120053","2805",-1.11773104111124,0.000303308247809779,"Aminoacid Metabolism",-0.463459403142007,0.000367627511416826,TRUE
"72",162,"2.6.1.1","GOT2","ENSG00000125166","2806",-1.11773104111124,0.000303308247809779,"Aminoacid Metabolism",-0.333165241419259,0.000489864886426257,TRUE
"73",164,"6.3.1.2","GLUL","ENSG00000135821","2752",-1.52656411149184,0.0116746105205236,"Aminoacid Metabolism",1.75911817954255,1.1512659438323e-07,TRUE
"74",166,"6.3.5.4","ASNS","ENSG00000070669","440",-2.99876700034699,0.000303308247809779,"Aminoacid Metabolism",-0.914883802989104,4.97388220633752e-06,TRUE
"75",167,"3.5.2.9","OPLAH","ENSG00000178814","26873",-1.01611372166655,0.0167608009654276,"Gluthatione metabolism",-0.355453205639428,0.00988334875176378,TRUE
"76",172,"3.4.11.1","LAP3","ENSG00000002549","51056",-1.74606340459446,0.038469402373254,"Gluthatione metabolism",-0.157857747526789,0.0408645513960958,TRUE
"77",175,"2.3.1.4","GNPNAT1","ENSG00000100522","64841",-2.5682476649381,8.56639071998153e-05,"Aminosugar metabolism",0.4130875061101,0.000267668135656695,TRUE
