"","r_idx","ENZYME","SYMBOL","ENSEMBL","ENTREZID","met_lfc","met_pval","pathway","ge_lfc","ge_pval","significant"
"43",72,"3.6.3.14","ATP6V0D1","ENSG00000159720","9114",-3.42362464332885,0.00181219104903118,"Oxidative Phosphorylation",-0.243915292077208,0.0188032491815498,TRUE
"44",72,"3.6.3.14","ATP6V1F","ENSG00000128524","9296",-3.42362464332885,0.00181219104903118,"Oxidative Phosphorylation",-0.592153234796641,0.000150156350145093,TRUE
"45",72,"3.6.3.14","ATP5L","ENSG00000167283","10632",-3.42362464332885,0.00181219104903118,"Oxidative Phosphorylation",-0.277802147626911,0.00695939698042039,TRUE
"46",72,"3.6.3.14","ATP6V0A2","ENSG00000185344","23545",-3.42362464332885,0.00181219104903118,"Oxidative Phosphorylation",0.724400207709215,7.45172898567289e-05,TRUE
"47",72,"3.6.3.14","DDX58","ENSG00000107201","23586",-3.42362464332885,0.00181219104903118,"Oxidative Phosphorylation",-0.76910618456434,4.18690819179069e-05,TRUE
"48",72,"3.6.3.14","ATP6V1D","ENSG00000100554","51382",-3.42362464332885,0.00181219104903118,"Oxidative Phosphorylation",0.371334731327984,0.00201129758292171,TRUE
"49",72,"3.6.3.14","DHX58","ENSG00000108771","79132",-3.42362464332885,0.00181219104903118,"Oxidative Phosphorylation",-0.355543685131503,0.0265861148635223,TRUE
"50",72,"3.6.3.14","ATP6V1E2","ENSG00000250565","90423",-3.42362464332885,0.00181219104903118,"Oxidative Phosphorylation",-0.479634761282889,0.000275719044310345,TRUE
"51",74,"1.11.1.9","GPX1","ENSG00000233276","2876",-3.65907426560242,0.0327943983769309,"Gluthatione metabolism",-0.385563850673025,0.00255164799573212,TRUE
"52",74,"1.11.1.9","GPX2","ENSG00000176153","2877",-3.65907426560242,0.0327943983769309,"Gluthatione metabolism",-1.79343482186532,7.76806728581443e-05,TRUE
"53",74,"1.11.1.9","GPX7","ENSG00000116157","2882",-3.65907426560242,0.0327943983769309,"Gluthatione metabolism",0.916269556386351,0.000196186913467556,TRUE
"54",121,"2.7.1.1","HK1","ENSG00000156515","3098",4.1284771334499,0.00304381850651806,"Glycolysis",0.347716986951093,0.00221097943099883,TRUE
"55",121,"2.7.1.1","HK2","ENSG00000159399","3099",4.1284771334499,0.00304381850651806,"Glycolysis",-1.70155767445268,4.56201467959984e-07,TRUE
"56",121,"2.7.1.1","HK3","ENSG00000160883","3101",4.1284771334499,0.00304381850651806,"Glycolysis",0.205634027154168,0.0342205887443673,TRUE
"57",121,"2.7.1.1","HKDC1","ENSG00000156510","80201",4.1284771334499,0.00304381850651806,"Glycolysis",-2.19162327156564,3.28523629756049e-07,TRUE
"58",126,"2.7.1.15","RBKS","ENSG00000171174","64080",-3.08425212205852,0.00304381850651806,"Pentose phosphate",-0.847861581153004,0.000210207479564515,TRUE
"59",140,"2.1.4.1","GATM","ENSG00000171766","2628",-0.770515076433534,0.0399567757642341,"Aminoacid Metabolism",-1.75114269981176,1.98904380189152e-07,TRUE
"60",144,"2.6.1.2","GPT2","ENSG00000166123","84706",-2.25305998989634,0.0262922983264144,"Aminoacid Metabolism",-0.957994813554918,8.13529875333592e-06,TRUE
